ft,km,transmission,oem,model,modelYear,price,Insurance Validity,Color,Displacement,Turbo Charger,Super Charger,Location,RTO_grouped
Petrol,120000.0,Manual,Maruti,Maruti Celerio,2015,400000.0,Third Party,White,998.0,False,False,Bangalore,Karnataka
Petrol,32706.0,Manual,Ford,Ford Ecosport,2018,811000.0,Comprehensive,White,1497.0,False,False,Bangalore,Karnataka
Petrol,11949.0,Manual,Tata,Tata Tiago,2018,585000.0,Comprehensive,Red,1199.0,False,False,Bangalore,Karnataka
Petrol,17794.0,Manual,Hyundai,Hyundai Xcent,2014,462000.0,Comprehensive,Other,1197.0,False,False,Bangalore,Karnataka
Diesel,20000.0,Manual,Jeep,Jeep Compass,2020,1900000.0,Third Party,Other,1956.0,True,False,Bangalore,Karnataka
Petrol,30000.0,Automatic,Hyundai,Hyundai Venue,2021,1200000.0,Third Party,Other,998.0,True,False,Bangalore,Karnataka
Petrol,37000.0,Automatic,Maruti,Maruti Ciaz,2018,960000.0,Comprehensive,Other,1462.0,False,False,Bangalore,Karnataka
Petrol,11949.0,Manual,Tata,Tata Tiago,2017,585000.0,Comprehensive,Red,1199.0,False,False,Bangalore,Karnataka
Petrol,50000.0,Manual,Maruti,Maruti Baleno,2018,690000.0,Third Party,Red,1197.0,False,False,Bangalore,Unknown
Petrol,24887.0,Automatic,Hyundai,Hyundai Grand i10,2019,682000.0,Third Party,Orange,1197.0,False,False,Bangalore,Karnataka
Petrol,23000.0,Automatic,Honda,Honda Jazz,2018,825000.0,Comprehensive,Gray,1199.0,False,False,Bangalore,Karnataka
Petrol,48928.0,Automatic,Tata,Tata Tiago,2018,595000.0,Comprehensive,Red,1199.0,False,False,Bangalore,Karnataka
Diesel,108862.0,Manual,Mahindra,Mahindra XUV500,2014,690000.0,Comprehensive,Silver,2179.0,True,False,Bangalore,Karnataka
Diesel,80000.0,Manual,Jeep,Jeep Compass,2018,1350000.0,Third Party,Other,1956.0,True,False,Bangalore,Unknown
Diesel,65376.0,Manual,Hyundai,Hyundai i20,2014,521000.0,Comprehensive,Blue,1396.0,False,False,Bangalore,Karnataka
Petrol,10000.0,Manual,Tata,Tata Nexon,2022,1005000.0000000001,Third Party,Other,1199.0,False,False,Bangalore,Karnataka
Petrol,67000.0,Manual,Honda,Honda City,2016,775000.0,Comprehensive,Brown,1497.0,False,False,Bangalore,Karnataka
Petrol,18083.0,Manual,Maruti,Maruti Swift,2016,582000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,30000.0,Manual,Renault,Renault Duster,2020,1090000.0,Third Party,Other,1498.0,False,False,Bangalore,Karnataka
Petrol,57634.0,Manual,Tata,Tata Tiago,2016,457000.0,Comprehensive,Silver,1199.0,False,False,Bangalore,Karnataka
Petrol,110000.0,Manual,Honda,Honda City,2015,550000.0,Third Party,Other,1497.0,False,False,Bangalore,Haryana
Petrol,23447.0,Automatic,Hyundai,Hyundai Santro,2018,570000.0,Comprehensive,Yellow,1086.0,False,False,Bangalore,Karnataka
Gas,30000.0,Manual,Hyundai,Hyundai Santro Xing,2009,220000.00000000003,Third Party,Other,1086.0,False,False,Bangalore,Unknown
Diesel,87667.0,Manual,Mahindra,Mahindra XUV500,2014,861000.0,Third Party,Black,2179.0,True,False,Bangalore,Karnataka
Diesel,79012.0,Manual,Mahindra,Mahindra XUV500,2014,802999.9999999999,Comprehensive,Silver,2179.0,True,False,Bangalore,Karnataka
Diesel,31344.0,Manual,Jeep,Jeep Compass,2021,2565000.0,Comprehensive,Black,1956.0,True,False,Bangalore,Karnataka
Petrol,50000.0,Manual,Hyundai,Hyundai Xcent,2018,674000.0,Third Party,Other,1197.0,False,False,Bangalore,Unknown
Petrol,12434.0,Manual,Maruti,Maruti Wagon R,2015,349000.0,Comprehensive,Brown,998.0,False,False,Bangalore,West Bengal
Petrol,60000.0,Manual,Maruti,Maruti Ertiga,2019,1050000.0,Third Party,Other,1462.0,False,False,Bangalore,Karnataka
Diesel,12000.0,Automatic,Mercedes-Benz,Mercedes-Benz C-Class,2019,4425000.0,Comprehensive,White,1950.0,True,False,Bangalore,Karnataka
Petrol,40987.0,Manual,Maruti,Maruti Wagon R,2015,405999.99999999994,Comprehensive,White,998.0,False,False,Bangalore,Karnataka
Diesel,40000.0,Automatic,Renault,Renault Duster,2020,1100000.0,Third Party,Other,1461.0,False,False,Bangalore,Karnataka
Petrol,89667.0,Manual,Hyundai,Hyundai i20,2016,594000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Hyundai,Hyundai i20,2017,710000.0,Third Party,Other,1396.0,True,False,Bangalore,Karnataka
Petrol,56997.0,Manual,Maruti,Maruti Baleno,2017,692000.0,Zero Dep,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,18835.0,Manual,Maruti,Maruti Alto 800,2021,411000.00000000006,Zero Dep,Silver,796.0,False,False,Bangalore,Karnataka
Petrol,60932.0,Manual,Tata,Tata Tiago,2019,610000.0,Comprehensive,Red,1199.0,False,False,Bangalore,Karnataka
Petrol,33539.0,Automatic,Kia,Kia Seltos,2020,1675000.0,Comprehensive,White,1353.0,True,False,Bangalore,Karnataka
Petrol,66837.0,Manual,Tata,Tata Tiago,2018,530000.0,Comprehensive,Brown,1199.0,False,False,Bangalore,Karnataka
Petrol,60000.0,Manual,Maruti,Maruti Alto,2008,250000.0,Third Party,Other,796.0,False,False,Bangalore,Unknown
Petrol,44285.0,Manual,Hyundai,Hyundai i20,2019,715000.0,Third Party,Gray,1197.0,False,False,Bangalore,Karnataka
Petrol,36735.0,Manual,Hyundai,Hyundai Grand i10,2018,625000.0,Comprehensive,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,10000.0,Automatic,Renault,Renault KWID,2022,550000.0,Third Party,Other,999.0,False,False,Bangalore,Karnataka
Diesel,53645.0,Manual,Tata,Tata Nexon,2018,825000.0,Comprehensive,White,1497.0,True,False,Bangalore,Karnataka
Petrol,53982.0,Automatic,Maruti,Maruti Celerio,2014,428000.0,Comprehensive,Other,998.0,False,False,Bangalore,Karnataka
Diesel,110000.0,Manual,Skoda,Skoda Rapid,2014,695000.0,Third Party,Black,1498.0,True,False,Bangalore,Karnataka
Petrol,37741.0,Manual,Ford,Ford Ecosport,2019,930000.0000000001,Third Party,White,1496.0,False,False,Bangalore,Karnataka
Petrol,17367.0,Manual,Maruti,Maruti Alto 800,2021,455000.0,Comprehensive,Silver,796.0,False,False,Bangalore,Karnataka
Diesel,94000.0,Manual,Hyundai,Hyundai Creta,2017,1195000.0,Comprehensive,Gray,1582.0,True,False,Bangalore,Karnataka
Petrol,54601.0,Manual,Maruti,Maruti Swift,2014,442000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Diesel,110000.0,Manual,Maruti,Maruti Swift,2018,690000.0,Third Party,Other,1248.0,True,False,Bangalore,Karnataka
Petrol,64000.0,Manual,Maruti,Maruti Celerio,2017,500000.0,Third Party,Red,998.0,False,False,Bangalore,Karnataka
Diesel,100000.0,Manual,Maruti,Maruti Ciaz,2015,650000.0,Third Party,White,1248.0,True,False,Bangalore,Unknown
Petrol,44154.0,Automatic,Honda,Honda Jazz,2016,537000.0,Comprehensive,White,1199.0,False,False,Bangalore,Karnataka
Petrol,68039.0,Manual,Tata,Tata Tiago,2017,468000.0,Third Party,Orange,1199.0,False,False,Bangalore,Karnataka
Petrol,60000.0,Manual,Maruti,Maruti Ritz,2014,420000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,10000.0,Manual,Hyundai,Hyundai i20,2021,919999.9999999999,Third Party,Other,998.0,True,False,Bangalore,Karnataka
Petrol,49873.0,Manual,Honda,Honda City,2013,533000.0,Third Party,Yellow,1497.0,False,False,Bangalore,Karnataka
Petrol,90000.0,Automatic,Volkswagen,Volkswagen Polo,2013,850000.0,Third Party,Other,1197.0,True,False,Bangalore,Karnataka
Diesel,48960.0,Manual,Skoda,Skoda Rapid,2017,751000.0,Third Party,Silver,1498.0,True,False,Bangalore,Karnataka
Diesel,70000.0,Manual,Hyundai,Hyundai Grand i10,2014,388000.0,Third Party,Other,1120.0,False,False,Bangalore,Karnataka
Petrol,68000.0,Manual,Hyundai,Hyundai i20,2013,490000.00000000006,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Diesel,83000.0,Manual,Hyundai,Hyundai i20,2013,525000.0,Comprehensive,Brown,1396.0,False,False,Bangalore,Karnataka
Petrol,62139.0,Manual,Maruti,Maruti Wagon R,2018,550000.0,Comprehensive,Red,998.0,False,False,Bangalore,Karnataka
Gas,74000.0,Manual,Hyundai,Hyundai i10,2013,365000.0,Comprehensive,Gray,1086.0,False,False,Bangalore,Karnataka
Petrol,26500.0,Automatic,Renault,Renault KWID,2016,420000.0,Comprehensive,Red,999.0,False,False,Bangalore,Karnataka
Petrol,38197.0,Manual,Honda,Honda Brio,2013,394000.0,Third Party,Other,1198.0,False,False,Bangalore,Karnataka
Petrol,23000.0,Automatic,Maruti,Maruti Baleno,2017,725000.0,Comprehensive,Gray,1197.0,False,False,Bangalore,Karnataka
